,,date,premise_code,item_code,price,premise_type,premise,state,district,item,unit,item_category
1,972193,12/7/2023,585,1,9.4,Pasar Basah ,PASAR AWAM PONTIAN,Johor,Pontian,AYAM BERSIH - STANDARD,1kg,AYAM
2,972271,12/7/2023,587,1,8.99,Pasar Raya / Supermarket,PASARAYA TUNAS MANJA,Johor,Mersing,AYAM BERSIH - STANDARD,1kg,AYAM
3,972370,12/7/2023,588,1,8.99,Pasar Raya / Supermarket,ECONSAVE CASH & CARRY PONTIAN,Johor,Pontian,AYAM BERSIH - STANDARD,1kg,AYAM
4,972467,12/7/2023,589,1,9.4,Pasar Basah ,PASAR AWAM PEKAN NANAS,Johor,Pontian,AYAM BERSIH - STANDARD,1kg,AYAM
5,972535,12/7/2023,591,1,8.99,Hypermarket,LOTUS`S SERI ALAM,Johor,Johor Bahru,AYAM BERSIH - STANDARD,1kg,AYAM
6,973526,12/7/2023,864,1,9.39,Hypermarket,GIANT HYPERMARKET PLENTONG,Johor,Johor Bahru,AYAM BERSIH - STANDARD,1kg,AYAM
7,973777,12/7/2023,930,1,8.99,Pasar Raya / Supermarket,PASARAYA ECONSAVE MUAR,Johor,Muar,AYAM BERSIH - STANDARD,1kg,AYAM
8,973868,12/7/2023,942,1,9.4,Pasar Basah ,PASAR AWAM PAGOH,Johor,Muar,AYAM BERSIH - STANDARD,1kg,AYAM
9,973900,12/7/2023,955,1,9.4,Pasar Basah ,PASAR AWAM BATU PAHAT,Johor,Batu Pahat,AYAM BERSIH - STANDARD,1kg,AYAM
10,974170,12/7/2023,1053,1,9.4,Pasar Basah ,PASAR AWAM MASAI,Johor,Johor Bahru,AYAM BERSIH - STANDARD,1kg,AYAM
11,974269,12/7/2023,1054,1,8.79,Pasar Raya / Supermarket,MASLEE WHOLESALE C & C (PONTIAN) S/B,Johor,Pontian,AYAM BERSIH - STANDARD,1kg,AYAM
12,974444,12/7/2023,1117,1,9.4,Hypermarket,PASARAYA HYPERMARKET AEON BIG,Johor,Batu Pahat,AYAM BERSIH - STANDARD,1kg,AYAM
