,item_code,item,unit,monthdate,max,min,mean
0,1,AYAM BERSIH - STANDARD,1kg,2023-01,13.0,5.91,9.1276941566072
1,1,AYAM BERSIH - STANDARD,1kg,2023-02,13.0,6.99,9.243196429613208
2,1,AYAM BERSIH - STANDARD,1kg,2023-03,13.0,6.19,9.356439521313423
3,1,AYAM BERSIH - STANDARD,1kg,2023-04,11.4,6.99,9.341487059130323
4,1,AYAM BERSIH - STANDARD,1kg,2023-05,11.4,7.0,9.366750439808998
5,1,AYAM BERSIH - STANDARD,1kg,2023-06,11.4,6.9,9.3633953437772
6,1,AYAM BERSIH - STANDARD,1kg,2023-07,11.4,4.99,9.057821996377541
7,1,AYAM BERSIH - STANDARD,1kg,2023-08,11.3,5.99,8.706863730739808
8,1,AYAM BERSIH - STANDARD,1kg,2023-09,11.3,5.99,8.463174386920983
9,9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,2023-01,59.9,25.99,36.487525150905434
10,9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,2023-02,59.9,20.0,36.99456156156157
11,9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,2023-03,50.0,3.29,35.61977328733366
12,9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,2023-04,53.9,21.0,34.73358457797846
13,9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,2023-05,53.9,21.0,34.69172231404959
14,9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,2023-06,51.9,21.0,33.86043305972262
15,9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,2023-07,59.9,20.0,32.42581797561667
16,9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,2023-08,51.9,18.99,31.31433686176837
17,9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,2023-09,48.9,19.0,30.28315123251166
18,16,BETIK BIASA,1kg,2023-01,8.5,2.0,4.96854256508545
19,16,BETIK BIASA,1kg,2023-02,8.5,1.8,4.847129111842105
20,16,BETIK BIASA,1kg,2023-03,9.99,1.99,5.071775652431791
21,16,BETIK BIASA,1kg,2023-04,9.99,1.49,5.235596097164346
22,16,BETIK BIASA,1kg,2023-05,8.99,1.79,5.266820559243613
23,16,BETIK BIASA,1kg,2023-06,9.9,2.0,5.505738958352073
24,16,BETIK BIASA,1kg,2023-07,9.9,2.0,5.703729669577127
25,16,BETIK BIASA,1kg,2023-08,9.6,1.9,5.8514781898975246
26,16,BETIK BIASA,1kg,2023-09,9.8,1.9,5.908908161402228
27,18,PISANG BERANGAN,1kg,2023-01,8.9,3.3,6.296548007246376
28,18,PISANG BERANGAN,1kg,2023-02,9.2,2.0,6.3634621734485775
29,18,PISANG BERANGAN,1kg,2023-03,9.4,3.5,6.468093832765796
30,18,PISANG BERANGAN,1kg,2023-04,9.7,1.99,6.504424409127955
31,18,PISANG BERANGAN,1kg,2023-05,17.5,2.8,6.5390303030303025
32,18,PISANG BERANGAN,1kg,2023-06,9.9,3.0,6.56703635888046
33,18,PISANG BERANGAN,1kg,2023-07,9.9,3.5,6.657916740321725
34,18,PISANG BERANGAN,1kg,2023-08,9.9,3.5,6.7389852310624105
35,18,PISANG BERANGAN,1kg,2023-09,9.5,3.5,6.800680376705747
36,19,PISANG EMAS,1kg,2023-01,8.69,2.88,5.936916500994036
37,19,PISANG EMAS,1kg,2023-02,9.3,2.0,6.064454842219805
38,19,PISANG EMAS,1kg,2023-03,9.4,2.0,6.214351427564328
39,19,PISANG EMAS,1kg,2023-04,9.7,0.02,6.252944877926001
40,19,PISANG EMAS,1kg,2023-05,9.9,2.9,6.292128851540617
41,19,PISANG EMAS,1kg,2023-06,9.9,2.99,6.306762876337396
42,19,PISANG EMAS,1kg,2023-07,9.9,2.5,6.3517651458489155
43,19,PISANG EMAS,1kg,2023-08,11.9,3.0,6.393695758166748
44,19,PISANG EMAS,1kg,2023-09,9.9,3.0,6.546871820956256
45,21,TEMBIKAI MERAH TANPA BIJI,1kg,2023-01,7.9,1.59,4.460258930387041
46,21,TEMBIKAI MERAH TANPA BIJI,1kg,2023-02,8.9,2.5,4.566241091271362
47,21,TEMBIKAI MERAH TANPA BIJI,1kg,2023-03,8.2,1.9,4.777189796538112
48,21,TEMBIKAI MERAH TANPA BIJI,1kg,2023-04,7.9,1.9,4.240793851180752
49,21,TEMBIKAI MERAH TANPA BIJI,1kg,2023-05,7.9,0.99,2.969433922410758
50,21,TEMBIKAI MERAH TANPA BIJI,1kg,2023-06,8.0,1.39,3.3343820155799553
51,21,TEMBIKAI MERAH TANPA BIJI,1kg,2023-07,9.99,0.99,3.4400249447247577
52,21,TEMBIKAI MERAH TANPA BIJI,1kg,2023-08,10.0,0.99,3.230170260361648
53,21,TEMBIKAI MERAH TANPA BIJI,1kg,2023-09,7.99,1.29,3.6046054011536444
54,22,DRAGON FRUIT MERAH,1kg,2023-01,20.9,1.88,10.744751999999998
55,22,DRAGON FRUIT MERAH,1kg,2023-02,21.9,3.9,9.805459439729903
56,22,DRAGON FRUIT MERAH,1kg,2023-03,24.0,3.99,9.89800876694537
57,22,DRAGON FRUIT MERAH,1kg,2023-04,24.0,3.59,10.407135147817925
58,22,DRAGON FRUIT MERAH,1kg,2023-05,24.0,2.99,9.810780170255384
59,22,DRAGON FRUIT MERAH,1kg,2023-06,24.0,2.35,9.62653748733536
60,22,DRAGON FRUIT MERAH,1kg,2023-07,24.0,3.5,9.391762393710895
61,22,DRAGON FRUIT MERAH,1kg,2023-08,24.0,2.9,8.94657760605064
62,22,DRAGON FRUIT MERAH,1kg,2023-09,17.0,1.9,8.248248821866165
63,24,TEMBIKAI SUSU,1kg,2023-01,12.0,1.88,6.337287075353672
64,24,TEMBIKAI SUSU,1kg,2023-02,12.0,1.99,6.4434362074451155
65,24,TEMBIKAI SUSU,1kg,2023-03,12.0,2.99,6.905601017361496
66,24,TEMBIKAI SUSU,1kg,2023-04,12.0,2.89,6.3981874524301405
67,24,TEMBIKAI SUSU,1kg,2023-05,12.0,1.89,5.0701460197833255
68,24,TEMBIKAI SUSU,1kg,2023-06,10.9,2.35,5.507889273356401
69,24,TEMBIKAI SUSU,1kg,2023-07,12.0,1.99,5.33927652733119
70,24,TEMBIKAI SUSU,1kg,2023-08,10.9,1.99,5.783503798947983
71,24,TEMBIKAI SUSU,1kg,2023-09,10.9,2.0,6.173293172690764
72,25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,2023-01,11.99,1.49,3.974228599633338
73,25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,2023-02,9.0,1.29,4.039890365697981
74,25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,2023-03,8.9,1.49,4.019124284906017
75,25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,2023-04,8.0,1.49,4.053676931106472
76,25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,2023-05,9.0,0.99,4.097391655886158
77,25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,2023-06,8.0,0.99,4.061597399903189
78,25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,2023-07,8.9,1.39,4.195089155023288
79,25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,2023-08,9.0,1.5,4.289044666760603
80,25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,2023-09,9.9,1.5,4.341183756663532
81,27,ANGGUR MERAH BERBIJI,1kg,2023-01,30.2,4.45,12.931114889998936
82,27,ANGGUR MERAH BERBIJI,1kg,2023-02,34.9,6.45,14.668728522336771
83,27,ANGGUR MERAH BERBIJI,1kg,2023-03,34.9,7.9,16.66814407512666
84,27,ANGGUR MERAH BERBIJI,1kg,2023-04,38.9,9.9,19.041121008038235
85,27,ANGGUR MERAH BERBIJI,1kg,2023-05,33.2,9.99,19.379941015378133
86,27,ANGGUR MERAH BERBIJI,1kg,2023-06,33.2,7.99,19.23440984675579
87,27,ANGGUR MERAH BERBIJI,1kg,2023-07,35.0,6.99,16.718800202071233
88,27,ANGGUR MERAH BERBIJI,1kg,2023-08,35.0,5.0,13.880514504652439
89,27,ANGGUR MERAH BERBIJI,1kg,2023-09,35.0,1.99,12.988289443553928
90,31,LAI KUNING (SAIZ M),1 biji,2023-01,3.5,0.76,1.4319656357388315
91,31,LAI KUNING (SAIZ M),1 biji,2023-02,3.0,0.85,1.5602130786186625
92,31,LAI KUNING (SAIZ M),1 biji,2023-03,2.99,0.8,1.63196875
93,31,LAI KUNING (SAIZ M),1 biji,2023-04,2.99,1.0,1.7165554465161925
94,31,LAI KUNING (SAIZ M),1 biji,2023-05,3.5,1.0,1.7754304029304029
95,31,LAI KUNING (SAIZ M),1 biji,2023-06,2.99,1.0,1.7666666666666666
96,31,LAI KUNING (SAIZ M),1 biji,2023-07,3.5,1.0,1.7610849909584088
97,31,LAI KUNING (SAIZ M),1 biji,2023-08,3.5,1.0,1.7897294250281846
98,31,LAI KUNING (SAIZ M),1 biji,2023-09,2.9,0.99,1.6477152899824252
99,38,JAMBU BATU BERBIJI,1kg,2023-01,13.99,3.0,6.92202450166113
100,38,JAMBU BATU BERBIJI,1kg,2023-02,13.99,2.5,6.855415856777494
101,38,JAMBU BATU BERBIJI,1kg,2023-03,12.5,1.99,6.648188695282618
102,38,JAMBU BATU BERBIJI,1kg,2023-04,13.99,1.89,6.51514888762122
103,38,JAMBU BATU BERBIJI,1kg,2023-05,12.8,2.69,6.613392441107947
104,38,JAMBU BATU BERBIJI,1kg,2023-06,14.99,3.0,6.7877328665393595
105,38,JAMBU BATU BERBIJI,1kg,2023-07,14.99,3.0,6.74224532795896
