item_group,item_category,item,item_group,item_category,item,item_code
BARANGAN BERBUNGKUS,BERAS,BERAS BASMATHI - FAIZA (KASHMIR),1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS CAP FAIZA EMAS (SST5%),1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS CAP GOLDEN SARAWAK (SST5%),1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS CAP JASMINE (SST5%),1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS CAP JATI (SST5%),1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS CAP RAMBUTAN (SST5%),1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS PREMIUM CAP UNCLE TAN,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS PULUT THAILAND (BIASA) PELBAGAI JENAMA,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS PULUT THAILAND (SUSU) PELBAGAI JENAMA,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS SUPER CAP 3A BOY (IMPORT),1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS SUPER CAP ANGGUR SAZARICE 5% (IMPORT THAILAND),1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS SUPER CAP JATI TWR  5% (IMPORT),1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS SUPER CAP RAMBUTAN 5% (IMPORT),1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS SUPER CAP RODA SAZARICE 5% (IMPORT THAILAND),1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS SUPER HUMA CAP KELISA EMAS (SABAH),1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS SUPER SPECIAL CAP FAMILI 5%,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS SUPER SPECIAL TEMPATAN SABAH RICE VAGAS TOKOU,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS SUPER WR (5%),1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS TQR SABAH CAP TKC 5%,1,1,1,1
BARANGAN BERBUNGKUS,BIHUN,BIHUN KERING IMPORT (CAP BINTANG),1,1,1,1
BARANGAN BERBUNGKUS,BIHUN,BIHUN KERING IMPORT (PELBAGAI JENAMA),1,1,1,1
BARANGAN BERBUNGKUS,BIHUN,BIHUN KERING TEMPATAN (CAP JASMINE),1,1,1,1
BARANGAN BERBUNGKUS,ESEN DAN RAGI,BUNGA RAYA YIS SEGERA,1,1,1,1
BARANGAN BERBUNGKUS,ESEN DAN RAGI,ESEN STAR BRAND 'PELBAGAI PERISA',1,1,1,1
BARANGAN BERBUNGKUS,ESEN DAN RAGI,MAURIPAN YIS SEGERA,1,1,1,1
BARANGAN BERBUNGKUS,ESEN DAN RAGI,RAGI BULAT/RAGI TAPAI,1,1,1,1
BARANGAN BERBUNGKUS,ESEN DAN RAGI,SERBUK PENAIK ROYAL (TIN),1,1,1,2
BARANGAN BERBUNGKUS,GULA,GULA HALUS CASTOR (PELBAGAI JENAMA),1,1,1,1
BARANGAN BERBUNGKUS,GULA,GULA MERAH LEMBUT (PELBAGAI JENAMA),1,1,1,1
BARANGAN BERBUNGKUS,GULA,GULA PUTIH BERTAPIS HALUS (PELBAGAI JENAMA),1,1,1,1
BARANGAN BERBUNGKUS,GULA,GULA PUTIH BERTAPIS KASAR (PELBAGAI JENAMA),1,1,1,1
BARANGAN BERBUNGKUS,IKAN DALAM TIN,MACKAREL CAP AYAM (SOS TOMATO),1,1,1,2
BARANGAN BERBUNGKUS,IKAN DALAM TIN,MACKAREL CAP KING CUP (SOS TOMATO),1,1,1,2
BARANGAN BERBUNGKUS,IKAN DALAM TIN,SARDIN CAP ADABI (SOS TOMATO DENGAN CILI),1,1,1,1
BARANGAN BERBUNGKUS,IKAN DALAM TIN,SARDIN CAP AYAM (SOS TOMATO),1,1,1,2
BARANGAN BERBUNGKUS,IKAN DALAM TIN,SARDIN CAP KING CUP (SOS TOMATO),1,1,1,2
BARANGAN BERBUNGKUS,IKAN DALAM TIN,TUNA CAP AYAM (TUNA MAYONNAISE),1,1,1,1
